ticker,wacc_bps_shift,terminal_g_bps_shift,wacc,terminal_growth,dcf_price
COL.AX,-200,-50,0.032110714272556545,0.009999999999999998,44.96622950224239
COL.AX,-200,-25,0.032110714272556545,0.012499999999999999,50.47925568157687
COL.AX,-200,0,0.032110714272556545,0.015,57.60326843093919
COL.AX,-200,25,0.032110714272556545,0.017499999999999998,67.16522248024997
COL.AX,-200,50,0.032110714272556545,0.02,80.67490159107037
COL.AX,-100,-50,0.04211071427255655,0.009999999999999998,28.608721070698756
COL.AX,-100,-25,0.04211071427255655,0.012499999999999999,30.913871215887433
COL.AX,-100,0,0.04211071427255655,0.015,33.64415773373194
COL.AX,-100,25,0.04211071427255655,0.017499999999999998,36.92913894422279
COL.AX,-100,50,0.04211071427255655,0.02,40.9569684340585
COL.AX,0,-50,0.05211071427255655,0.009999999999999998,20.02371252518569
COL.AX,0,-25,0.05211071427255655,0.012499999999999999,21.229482724241667
COL.AX,0,0,0.05211071427255655,0.015,22.597708729214006
COL.AX,0,25,0.05211071427255655,0.017499999999999998,24.163594047744226
COL.AX,0,50,0.05211071427255655,0.02,25.973305353021267
COL.AX,100,-50,0.06211071427255655,0.009999999999999998,14.736456957068159
COL.AX,100,-25,0.06211071427255655,0.012499999999999999,15.45094045475486
COL.AX,100,0,0.06211071427255655,0.015,16.241254207694446
COL.AX,100,25,0.06211071427255655,0.017499999999999998,17.12014687780974
COL.AX,100,50,0.06211071427255655,0.02,18.10339454228903
COL.AX,200,-50,0.07211071427255655,0.009999999999999998,11.154000346597517
COL.AX,200,-25,0.07211071427255655,0.012499999999999999,11.612538251310319
COL.AX,200,0,0.07211071427255655,0.015,12.11122080405925
COL.AX,200,25,0.07211071427255655,0.017499999999999998,12.655561297689538
COL.AX,200,50,0.07211071427255655,0.02,13.252131021069312
BBY,-200,-50,0.07979800398534773,0.009999999999999998,43.69451277021284
BBY,-200,-25,0.07979800398534773,0.012499999999999999,44.70758133528419
BBY,-200,0,0.07979800398534773,0.015,45.7988211790033
BBY,-200,25,0.07979800398534773,0.017499999999999998,46.977643270459886
BBY,-200,50,0.07979800398534773,0.02,48.2550323719245
BBY,-100,-50,0.08979800398534774,0.009999999999999998,37.33004087184141
BBY,-100,-25,0.08979800398534774,0.012499999999999999,38.04009642514628
BBY,-100,0,0.08979800398534774,0.015,38.7976168515408
BBY,-100,25,0.08979800398534774,0.017499999999999998,39.60752602898218
BBY,-100,50,0.08979800398534774,0.02,40.475453282242135
BBY,0,-50,0.09979800398534773,0.009999999999999998,32.359455063055336
BBY,0,-25,0.09979800398534773,0.012499999999999999,32.874066421732444
BBY,0,0,0.09979800398534773,0.015,33.4190211454943
BBY,0,25,0.09979800398534773,0.017499999999999998,33.99708449263534
BBY,0,50,0.09979800398534773,0.02,34.61136825371349
BBY,100,-50,0.10979800398534773,0.009999999999999998,28.36498626194581
BBY,100,-25,0.10979800398534773,0.012499999999999999,28.74793925550095
BBY,100,0,0.10979800398534773,0.015,29.15109061703092
BBY,100,25,0.10979800398534773,0.017499999999999998,29.576081636198225
BBY,100,50,0.10979800398534773,0.02,30.024736378405347
BBY,200,-50,0.11979800398534773,0.009999999999999998,25.080981804190902
BBY,200,-25,0.11979800398534773,0.012499999999999999,25.372136245937835
BBY,200,0,0.11979800398534773,0.015,25.67718190844635
BBY,200,25,0.11979800398534773,0.017499999999999998,25.997137229531997
BBY,200,50,0.11979800398534773,0.02,26.33312269692861
WMT,-200,-50,0.055695210797613706,0.009999999999999998,39.04572465265301
WMT,-200,-25,0.055695210797613706,0.012499999999999999,40.86450297397527
WMT,-200,0,0.055695210797613706,0.015,42.906744730634856
WMT,-200,25,0.055695210797613706,0.017499999999999998,45.21632913497361
WMT,-200,50,0.055695210797613706,0.02,47.849428144315496
WMT,-100,-50,0.06569521079761372,0.009999999999999998,30.67307856862607
WMT,-100,-25,0.06569521079761372,0.012499999999999999,31.78620757852272
WMT,-100,0,0.06569521079761372,0.015,33.009122995496426
WMT,-100,25,0.06569521079761372,0.017499999999999998,34.35890946425462
WMT,-100,50,0.06569521079761372,0.02,35.856390455611304
WMT,0,-50,0.07569521079761371,0.009999999999999998,24.8573633598012
WMT,0,-25,0.07569521079761371,0.012499999999999999,25.587681387591246
WMT,0,0,0.07569521079761371,0.015,26.3781621545985
WMT,0,25,0.07569521079761371,0.017499999999999998,27.236559229165522
WMT,0,50,0.07569521079761371,0.02,28.172018322375965
WMT,100,-50,0.0856952107976137,0.009999999999999998,20.5848122891865
WMT,100,-25,0.0856952107976137,0.012499999999999999,21.08832524163046
WMT,100,0,0.0856952107976137,0.015,21.62744972608368
WMT,100,25,0.0856952107976137,0.017499999999999998,22.206102241768683
WMT,100,50,0.0856952107976137,0.02,22.828795449968357
WMT,200,-50,0.09569521079761371,0.009999999999999998,17.314877258564408
WMT,200,-25,0.09569521079761371,0.012499999999999999,17.67518223942418
WMT,200,0,0.09569521079761371,0.015,18.05781227385891
WMT,200,25,0.09569521079761371,0.017499999999999998,18.464908642646588
WMT,200,50,0.09569521079761371,0.02,18.89889550850125
WOW.AX,-200,-50,0.024421642962662107,0.009999999999999998,90.9177900743286
WOW.AX,-200,-25,0.024421642962662107,0.012499999999999999,110.16584989088574
WOW.AX,-200,0,0.024421642962662107,0.015,139.6287203794441
WOW.AX,-200,25,0.024421642962662107,0.017499999999999998,190.3747389930155
WOW.AX,-200,50,0.024421642962662107,0.02,298.50442589695837
WOW.AX,-100,-50,0.034421642962662105,0.009999999999999998,48.21335620198481
