ticker,name,current_price,conservative_price,base_price,optimistic_price,wacc,rf,tax_rate
COL.AX,Coles Group Limited,21.299999237060547,20.676598418077447,22.597708729214006,24.63180310629731,0.05211071427255655,0.04,0.2975260416666667
BBY,"Best Buy Co., Inc.",69.73999786376953,38.0144224945676,33.4190211454943,29.249717243970004,0.09979800398534773,0.04,0.28725868725868725
WMT,Walmart Inc.,111.61000061035156,23.545987199964227,26.3781621545985,29.44490065160678,0.07569521079761371,0.04,0.23383632977308144
WOW.AX,Woolworths Group Limited,29.299999237060547,32.320977811420285,35.81088351168666,39.52107169256378,0.04442164296266211,0.04,0.3064046579330422
TCO0.DE,Tesco PLC,5.050000190734863,7.759941529080324,8.471452871219897,9.227960822425382,0.0645156502362462,0.04,0.27584650112866815
