ticker,name,current_price,wacc,rf,tax_rate,scenario,dcf_price
COL.AX,Coles Group Limited,21.299999237060547,0.05211071427255655,0.04,0.2975260416666667,conservative_price,20.676598418077447
BBY,"Best Buy Co., Inc.",69.73999786376953,0.09979800398534773,0.04,0.28725868725868725,conservative_price,38.0144224945676
WMT,Walmart Inc.,111.61000061035156,0.07569521079761371,0.04,0.23383632977308144,conservative_price,23.545987199964227
WOW.AX,Woolworths Group Limited,29.299999237060547,0.04442164296266211,0.04,0.3064046579330422,conservative_price,32.320977811420285
TCO0.DE,Tesco PLC,5.050000190734863,0.0645156502362462,0.04,0.27584650112866815,conservative_price,7.759941529080324
COL.AX,Coles Group Limited,21.299999237060547,0.05211071427255655,0.04,0.2975260416666667,base_price,22.597708729214006
BBY,"Best Buy Co., Inc.",69.73999786376953,0.09979800398534773,0.04,0.28725868725868725,base_price,33.4190211454943
WMT,Walmart Inc.,111.61000061035156,0.07569521079761371,0.04,0.23383632977308144,base_price,26.3781621545985
WOW.AX,Woolworths Group Limited,29.299999237060547,0.04442164296266211,0.04,0.3064046579330422,base_price,35.81088351168666
TCO0.DE,Tesco PLC,5.050000190734863,0.0645156502362462,0.04,0.27584650112866815,base_price,8.471452871219897
COL.AX,Coles Group Limited,21.299999237060547,0.05211071427255655,0.04,0.2975260416666667,optimistic_price,24.63180310629731
BBY,"Best Buy Co., Inc.",69.73999786376953,0.09979800398534773,0.04,0.28725868725868725,optimistic_price,29.249717243970004
WMT,Walmart Inc.,111.61000061035156,0.07569521079761371,0.04,0.23383632977308144,optimistic_price,29.44490065160678
WOW.AX,Woolworths Group Limited,29.299999237060547,0.04442164296266211,0.04,0.3064046579330422,optimistic_price,39.52107169256378
TCO0.DE,Tesco PLC,5.050000190734863,0.0645156502362462,0.04,0.27584650112866815,optimistic_price,9.227960822425382
